"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 09 14:48:45 GMT 2024","Mon Dec 09 14:48:49 GMT 2024","4408","Chromium","e2e/footer.spec.ts","Footer > Open the footer links","","","Open ""LinkedIn"" page",""
"passed","Mon Dec 09 14:49:10 GMT 2024","Mon Dec 09 14:49:10 GMT 2024","449","Chromium","e2e/login.spec.ts","Login > Login with error status","","","Incorrect credentials","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 25",""
"passed","Mon Dec 09 14:48:17 GMT 2024","Mon Dec 09 14:48:20 GMT 2024","2977","Chromium","e2e/cart.spec.ts","Cart > Function with product","","","Add product to basket",""
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 5",""
"passed","Mon Dec 09 14:48:25 GMT 2024","Mon Dec 09 14:48:27 GMT 2024","2254","Chromium","e2e/checkout.spec.ts","Checkout > Empty fields - error validation","","","Empty Fist Name field",""
"passed","Mon Dec 09 14:48:29 GMT 2024","Mon Dec 09 14:48:33 GMT 2024","3043","Chromium","e2e/checkout.spec.ts","Checkout > Checkout process","","","Continue process from Checkout",""
"passed","Mon Dec 09 14:48:40 GMT 2024","Mon Dec 09 14:48:45 GMT 2024","4617","Chromium","e2e/footer.spec.ts","Footer > Open the footer links","","","Open ""Facebook"" page",""
"passed","Mon Dec 09 14:48:45 GMT 2024","Mon Dec 09 14:48:48 GMT 2024","3034","Chromium","e2e/inventory.spec.ts","Inventory","","","Validation Inventory page",""
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 10",""
"passed","Mon Dec 09 14:48:57 GMT 2024","Mon Dec 09 14:49:00 GMT 2024","3084","Chromium","e2e/inventory.spec.ts","Inventory > Add products - different methods","","","Adding by button ""Add to cart"" - count",""
"passed","Mon Dec 09 14:48:26 GMT 2024","Mon Dec 09 14:48:29 GMT 2024","3044","Chromium","e2e/checkout.spec.ts","Checkout > Empty fields - error validation","","","Empty Last Name field",""
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 21",""
"passed","Mon Dec 09 14:48:09 GMT 2024","Mon Dec 09 14:48:13 GMT 2024","3839","Chromium","accessibility/accessibility.spec.ts","Accessability tests > Accessability tests - fixture","","","Full scan results for page",""
"passed","Mon Dec 09 14:49:05 GMT 2024","Mon Dec 09 14:49:05 GMT 2024","399","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Locked user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"passed","Mon Dec 09 14:48:36 GMT 2024","Mon Dec 09 14:48:40 GMT 2024","4041","Chromium","e2e/checkout.spec.ts","Checkout with errors","","","Visual effect for page",""
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 8",""
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 20",""
"passed","Mon Dec 09 14:48:54 GMT 2024","Mon Dec 09 14:48:57 GMT 2024","3232","Chromium","e2e/inventory.spec.ts","Inventory > Add products - different methods","","","Adding by Title - all",""
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 18",""
"passed","Mon Dec 09 14:48:20 GMT 2024","Mon Dec 09 14:48:24 GMT 2024","3636","Chromium","e2e/cart.spec.ts","Cart with errors","","","Visual effect for page",""
"passed","Mon Dec 09 14:48:13 GMT 2024","Mon Dec 09 14:48:17 GMT 2024","3838","Chromium","accessibility/accessibility.spec.ts","Accessability tests > Accessability tests - fixture","","","Violations results for page",""
"passed","Mon Dec 09 14:48:33 GMT 2024","Mon Dec 09 14:48:37 GMT 2024","3262","Chromium","e2e/checkout.spec.ts","Checkout > Checkout process","","","Checkout process with payment verification",""
"passed","Mon Dec 09 14:49:05 GMT 2024","Mon Dec 09 14:49:05 GMT 2024","501","Chromium","e2e/login.spec.ts","Login > Login to specific user","","","Problem user","This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication."
"skipped","Mon Dec 09 14:49:12 GMT 2024","Mon Dec 09 14:49:12 GMT 2024","0","Chromium","performance/load.spec.ts","Load tests","","","Simple login to page - Run 22",""
